家賃_num,築年数_num,面積_num,徒歩分_num,駅名,駅カテゴリ,y_true_log,y_pred_log,実家賃,予測家賃
5.0,13,44.86,14,滝尾駅,住宅地,1.6094379124341003,1.6917044901660883,4.999999999999999,5.4287260337459
4.85,18,54.85,10,坂ノ市駅,郊外,1.5789787049493917,1.699141919890029,4.85,5.469252321008812
5.0,7,29.71,12,古国府駅,住宅地,1.6094379124341003,1.575817352081433,4.999999999999999,4.83469164888974
5.0,7,29.71,12,古国府駅,住宅地,1.6094379124341003,1.575817352081433,4.999999999999999,4.83469164888974
4.6,23,54.81,20,大在駅,その他,1.5260563034950492,1.6592606512928099,4.6,5.2554238168848135
4.6,23,54.81,17,大在駅,その他,1.5260563034950492,1.659952900795955,4.6,5.259063140925665
5.4,12,58.21,15,坂ノ市駅,郊外,1.6863989535702288,1.7905826622301475,5.4,5.992943311007435
4.2,17,32.9,16,高城駅,郊外,1.4350845252893227,1.4590942208053714,4.2,4.302061045640318
5.2,17,63.86,16,大在駅,その他,1.6486586255873816,1.8170075535697214,5.2,6.153417100233928
4.35,18,58.86,14,坂ノ市駅,郊外,1.4701758451005926,1.7434842878325907,4.35,5.717229230859212
4.5,18,54.85,20,坂ノ市駅,郊外,1.5040773967762742,1.6968344215462121,4.5,5.45664657979298
5.1,24,65.57,6,鶴崎駅,郊外,1.62924053973028,1.7664071786640685,5.1,5.849798280386701
5.8,15,57.26,20,滝尾駅,住宅地,1.7578579175523736,1.8120705635552394,5.8,6.123112609492342
5.8,15,57.26,19,滝尾駅,住宅地,1.7578579175523736,1.812301313389621,5.8,6.124525679739475
5.2,21,51.67,7,鶴崎駅,郊外,1.6486586255873816,1.6366047413628133,5.2,5.137696058655041
5.5,6,36.96,24,滝尾駅,住宅地,1.7047480922384253,1.663998302264446,5.5,5.280381253768299
5.25,15,46.41,15,賀来駅,住宅地,1.6582280766035324,1.6907481942760356,5.25,5.423537046850472
4.9,20,58.86,19,大在駅,その他,1.589235205116581,1.732541494876674,4.9,5.655007833925504
5.0,18,40.41,15,南大分駅,住宅地,1.6094379124341003,1.5956862635699018,4.999999999999999,4.931712365604559
4.7,20,57.22,9,坂ノ市駅,郊外,1.547562508716013,1.7079033833120496,4.7,5.517381508343339
